,POA Global Irradiance,Cell Temperature
1983-01-01 00:00:00+10:00,,
1983-01-01 01:00:00+10:00,,
1983-01-01 02:00:00+10:00,,
1983-01-01 03:00:00+10:00,,
1983-01-01 04:00:00+10:00,,
1983-01-01 05:00:00+10:00,24.98966856636929,19.65257328868857
1983-01-01 06:00:00+10:00,175.74172566438386,25.595785842919533
1983-01-01 07:00:00+10:00,399.6860211662897,33.83610023892773
1983-01-01 08:00:00+10:00,579.2353861261656,40.46179142843781
1983-01-01 09:00:00+10:00,787.0529548426307,46.96697354110364
1983-01-01 10:00:00+10:00,909.4302643372398,50.167159059102985
1983-01-01 11:00:00+10:00,974.0536625161417,51.54234013204369
1983-01-01 12:00:00+10:00,913.1702798937926,49.148218297845595
1983-01-01 13:00:00+10:00,814.0105014569997,45.953562177932724
1983-01-01 14:00:00+10:00,655.6949345280009,40.95543857423395
1983-01-01 15:00:00+10:00,497.4114043687398,36.4903445404688
1983-01-01 16:00:00+10:00,334.2619007380031,31.603496232526503
1983-01-01 17:00:00+10:00,154.5100446919227,26.158990401521955
1983-01-01 18:00:00+10:00,32.04594154601839,22.165974813963352
1983-01-01 19:00:00+10:00,0.9958381011301385,20.83066791745325
1983-01-01 20:00:00+10:00,,
1983-01-01 21:00:00+10:00,,
1983-01-01 22:00:00+10:00,,
1983-01-01 23:00:00+10:00,,
1983-01-02 00:00:00+10:00,,
1983-01-02 01:00:00+10:00,,
1983-01-02 02:00:00+10:00,,
1983-01-02 03:00:00+10:00,,
1983-01-02 04:00:00+10:00,,
1983-01-02 05:00:00+10:00,23.992278860079107,19.118545313498043
1983-01-02 06:00:00+10:00,143.31429354274366,23.789458146966062
1983-01-02 07:00:00+10:00,282.2867356177809,29.03078521428261
1983-01-02 08:00:00+10:00,381.6384579671212,33.02037097190426
1983-01-02 09:00:00+10:00,471.6188767269932,36.32629206202883
1983-01-02 10:00:00+10:00,560.7792921987109,39.45609171888829
1983-01-02 11:00:00+10:00,601.9799579967448,40.85714852966807
1983-01-02 12:00:00+10:00,538.4746261982789,36.853165373756426
1983-01-02 13:00:00+10:00,435.2199442977844,31.841128607288326
1983-01-02 14:00:00+10:00,305.67737613792895,26.272816966489998
1983-01-02 15:00:00+10:00,234.71840753918767,24.57224275566204
1983-01-02 16:00:00+10:00,159.76750265759165,22.714117535487134
1983-01-02 17:00:00+10:00,86.34600916566066,20.630775000163702
1983-01-02 18:00:00+10:00,23.144291116568837,18.732146807408185
1983-01-02 19:00:00+10:00,0.9957530327049096,18.1327102029462
1983-01-02 20:00:00+10:00,,
1983-01-02 21:00:00+10:00,,
1983-01-02 22:00:00+10:00,,
1983-01-02 23:00:00+10:00,,
1983-01-03 00:00:00+10:00,,
1983-01-03 01:00:00+10:00,,
1983-01-03 02:00:00+10:00,,
1983-01-03 03:00:00+10:00,,
1983-01-03 04:00:00+10:00,,
1983-01-03 05:00:00+10:00,14.996351396064936,14.433150833703492
1983-01-03 06:00:00+10:00,92.03176091735456,17.15935908648437
1983-01-03 07:00:00+10:00,229.89546846168605,21.856249239320977
1983-01-03 08:00:00+10:00,395.0282889516508,27.868303486293385
1983-01-03 09:00:00+10:00,818.3863456774616,41.476633026200744
1983-01-03 10:00:00+10:00,1031.5022959973612,47.4539062393779
1983-01-03 11:00:00+10:00,1097.2524389857178,48.92843425328009
1983-01-03 12:00:00+10:00,1095.0881910988994,49.98709700666784
1983-01-03 13:00:00+10:00,1095.9114098589691,51.16535459381726
1983-01-03 14:00:00+10:00,1086.9934796887599,52.064604590948456
1983-01-03 15:00:00+10:00,1055.276319275241,51.23287265274581
1983-01-03 16:00:00+10:00,933.7932934406824,48.21058095552361
1983-01-03 17:00:00+10:00,596.1683358270343,39.25482766374324
1983-01-03 18:00:00+10:00,161.39783746991003,27.328419800214306
1983-01-03 19:00:00+10:00,1.9913884777166093,22.454835549953927
1983-01-03 20:00:00+10:00,,
1983-01-03 21:00:00+10:00,,
1983-01-03 22:00:00+10:00,,
1983-01-03 23:00:00+10:00,,
1983-01-04 00:00:00+10:00,,
1983-01-04 01:00:00+10:00,,
1983-01-04 02:00:00+10:00,,
1983-01-04 03:00:00+10:00,,
1983-01-04 04:00:00+10:00,,
1983-01-04 05:00:00+10:00,39.437308332771934,11.44548385757889
1983-01-04 06:00:00+10:00,421.0683387008379,26.465601421858448
1983-01-04 07:00:00+10:00,820.2315413444052,41.98386464521628
1983-01-04 08:00:00+10:00,1021.2042563849257,50.840456926290365
1983-01-04 09:00:00+10:00,1098.930571797205,52.877225345281865
1983-01-04 10:00:00+10:00,1116.3700509506684,52.74495115643784
