,POA Global Irradiance,Cell Temperature
1983-01-01 00:00:00+10:00,,
1983-01-01 01:00:00+10:00,,
1983-01-01 02:00:00+10:00,,
1983-01-01 03:00:00+10:00,,
1983-01-01 04:00:00+10:00,,
1983-01-01 05:00:00+10:00,24.999651913436573,19.652913890846566
1983-01-01 06:00:00+10:00,145.7146033991561,24.571349591933334
1983-01-01 07:00:00+10:00,335.8875975433321,31.659487464055932
1983-01-01 08:00:00+10:00,550.9342754863897,39.4962415689985
1983-01-01 09:00:00+10:00,787.0529548426307,46.96697354110364
1983-01-01 10:00:00+10:00,909.4302643372398,50.167159059102985
1983-01-01 11:00:00+10:00,974.0536625161417,51.54234013204369
1983-01-01 12:00:00+10:00,913.1702798937926,49.148218297845595
1983-01-01 13:00:00+10:00,814.0105014569997,45.953562177932724
1983-01-01 14:00:00+10:00,655.6949345280009,40.95543857423395
1983-01-01 15:00:00+10:00,497.4114043687398,36.4903445404688
1983-01-01 16:00:00+10:00,337.52360902620893,31.697206593139626
1983-01-01 17:00:00+10:00,157.88241431297695,26.25849591110501
1983-01-01 18:00:00+10:00,35.90559403503162,22.282318004868937
1983-01-01 19:00:00+10:00,0.999861428180905,20.830791820185773
1983-01-01 20:00:00+10:00,,
1983-01-01 21:00:00+10:00,,
1983-01-01 22:00:00+10:00,,
1983-01-01 23:00:00+10:00,,
1983-01-02 00:00:00+10:00,,
1983-01-02 01:00:00+10:00,,
1983-01-02 02:00:00+10:00,,
1983-01-02 03:00:00+10:00,,
1983-01-02 04:00:00+10:00,,
1983-01-02 05:00:00+10:00,23.999739784282006,19.118799858077832
1983-01-02 06:00:00+10:00,129.2215306269038,23.30865492246729
1983-01-02 07:00:00+10:00,266.97424803234713,28.50836860583325
1983-01-02 08:00:00+10:00,393.24952693329226,33.41650616783081
1983-01-02 09:00:00+10:00,471.6188767269932,36.32629206202883
1983-01-02 10:00:00+10:00,560.7792921987109,39.45609171888829
1983-01-02 11:00:00+10:00,601.9799579967448,40.85714852966807
1983-01-02 12:00:00+10:00,538.4746261982789,36.853165373756426
1983-01-02 13:00:00+10:00,435.2199442977844,31.841128607288326
1983-01-02 14:00:00+10:00,305.67737613792895,26.272816966489998
1983-01-02 15:00:00+10:00,234.71840753918767,24.57224275566204
1983-01-02 16:00:00+10:00,173.04790531253877,23.105970559366398
1983-01-02 17:00:00+10:00,96.0344180960114,20.92595973714939
1983-01-02 18:00:00+10:00,25.93144421263939,18.820315644844946
1983-01-02 19:00:00+10:00,0.9998586338467651,18.13284507077201
1983-01-02 20:00:00+10:00,,
1983-01-02 21:00:00+10:00,,
1983-01-02 22:00:00+10:00,,
1983-01-02 23:00:00+10:00,,
1983-01-03 00:00:00+10:00,,
1983-01-03 01:00:00+10:00,,
1983-01-03 02:00:00+10:00,,
1983-01-03 03:00:00+10:00,,
1983-01-03 04:00:00+10:00,,
1983-01-03 05:00:00+10:00,14.999877005314731,14.43325266651239
1983-01-03 06:00:00+10:00,97.83450892809194,17.33334103891475
1983-01-03 07:00:00+10:00,233.57491283989842,21.970783993785243
1983-01-03 08:00:00+10:00,401.12308963853474,28.06530270643817
1983-01-03 09:00:00+10:00,818.3863456774616,41.476633026200744
1983-01-03 10:00:00+10:00,1031.5022959973612,47.4539062393779
1983-01-03 11:00:00+10:00,1097.2524389857178,48.92843425328009
1983-01-03 12:00:00+10:00,1095.0881910988994,49.98709700666784
1983-01-03 13:00:00+10:00,1095.9114098589691,51.16535459381726
1983-01-03 14:00:00+10:00,1086.9934796887599,52.064604590948456
1983-01-03 15:00:00+10:00,1055.276319275241,51.23287265274581
1983-01-03 16:00:00+10:00,833.3547871071053,45.628010589775506
1983-01-03 17:00:00+10:00,433.5539949755978,34.984725867493154
1983-01-03 18:00:00+10:00,103.81129796800334,25.784045218043424
1983-01-03 19:00:00+10:00,1.9997134069360074,22.455064788034385
1983-01-03 20:00:00+10:00,,
1983-01-03 21:00:00+10:00,,
1983-01-03 22:00:00+10:00,,
1983-01-03 23:00:00+10:00,,
1983-01-04 00:00:00+10:00,,
1983-01-04 01:00:00+10:00,,
1983-01-04 02:00:00+10:00,,
1983-01-04 03:00:00+10:00,,
1983-01-04 04:00:00+10:00,,
1983-01-04 05:00:00+10:00,37.52362440703696,11.380194644409011
1983-01-04 06:00:00+10:00,234.08080301856023,20.086141933749968
1983-01-04 07:00:00+10:00,532.9237313896266,32.18177528382685
1983-01-04 08:00:00+10:00,853.2646139650374,45.11085499664344
1983-01-04 09:00:00+10:00,1098.930571797205,52.877225345281865
1983-01-04 10:00:00+10:00,1116.3700509506684,52.74495115643784
1983-01-04 11:00:00+10:00,1110.1774566987333,52.41649752456529
